frame,date,time,quaternion_x,quaternion_y,quaternion_z,quaternion_w,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,HS,TO
9630,2024 9 19,12:41:52.792,0.733897,-0.005462,-0.677518,0.047774,-0.811001,-0.832061,0.191942,120.918716,-80.12574,0.508908,0,0
9631,2024 9 19,12:41:52.800,0.734914,-0.003918,-0.676345,0.049299,-0.79273,-0.821755,0.209081,122.295654,-80.8517,-1.462838,0,0
9632,2024 9 19,12:41:52.809,0.738499,0.001825,-0.671914,0.055805,-0.730177,-0.773107,0.2847,123.261139,-74.82933,-6.598953,0,0
9633,2024 9 19,12:41:52.817,0.741916,0.008313,-0.667395,0.063482,-0.707295,-0.70628,0.36202,121.673172,-62.982372,-9.910496,0,0
9634,2024 9 19,12:41:52.825,0.744716,0.01463,-0.663369,0.071264,-0.719578,-0.64075,0.430267,116.454231,-52.737366,-12.963002,0,0
9635,2024 9 19,12:41:52.834,0.746909,0.020382,-0.659884,0.078884,-0.702383,-0.60451,0.498381,108.922073,-44.119408,-16.993723,0,0
9636,2024 9 19,12:41:52.842,0.74841,0.466763,0.025196,0.470484,-0.164971,-0.812502,0.455336,101.151764,-33.004395,-20.915726,0,0
9637,2024 9 19,12:41:52.850,0.748756,0.026691,-0.656428,0.088005,-0.041158,-0.860421,0.445419,99.361588,-30.443636,-21.819305,0,0
9638,2024 9 19,12:41:52.859,0.744163,0.02875,-0.66025,0.097077,0.132407,-0.507505,1.355532,137.598419,104.344803,-76.769661,0,0
9639,2024 9 19,12:41:52.867,0.734853,0.033201,-0.668481,0.109141,-0.944482,0.017649,0.282033,107.554626,138.33931,-83.332588,0,0
9640,2024 9 19,12:41:52.875,0.723782,0.039091,-0.677701,0.123159,-1.477755,0.782983,1.019776,150.910995,167.177094,-92.444633,0,0
9641,2024 9 19,12:41:52.884,0.713871,0.042829,-0.68555,0.135749,-1.521593,0.709643,0.589921,108.352798,120.208305,-102.62262,0,0
9642,2024 9 19,12:41:52.892,0.706484,0.041853,-0.691274,0.145511,-2.261459,0.202751,1.066087,48.172108,86.901573,-105.597977,0,0
9643,2024 9 19,12:41:52.900,0.704674,0.041614,-0.692676,0.147902,-2.442704,0.078578,1.182734,33.429657,78.742432,-106.326843,0,0
9644,2024 9 19,12:41:52.909,0.706046,0.036368,-0.690926,0.150922,-2.159616,-0.33971,0.707997,-18.341812,-74.283813,-75.399734,0,0
9645,2024 9 19,12:41:52.917,0.714833,0.029314,-0.68185,0.152179,-0.901398,-0.433944,-0.09315,-32.911289,-163.160309,-45.058067,0,0
9646,2024 9 19,12:41:52.925,0.720647,0.024949,-0.675507,0.153892,-0.364952,-0.369683,-0.495477,-8.807577,-73.32151,-32.9552,0,0
9647,2024 9 19,12:41:52.934,0.720302,0.02434,-0.675316,0.156538,-0.841932,-0.13399,-0.299441,23.291445,17.283112,-24.98201,0,0
9648,2024 9 19,12:41:52.942,0.71863,0.024945,-0.676488,0.159077,-1.099911,-0.005898,0.087013,21.140688,22.78722,-19.230703,0,0
9649,2024 9 19,12:41:52.950,0.718197,0.025101,-0.676791,0.159734,-1.166731,0.027279,0.187108,20.58362,24.212839,-17.741058,0,0
9650,2024 9 19,12:41:52.959,0.717812,0.024635,-0.676971,0.160775,-1.140728,-0.093722,0.075331,4.184937,-0.108616,-17.262018,0,0
9651,2024 9 19,12:41:52.967,0.718387,0.023651,-0.67612,0.161927,-0.935851,-0.138148,-0.0347,4.070083,-13.814991,-17.046236,0,0
9652,2024 9 19,12:41:52.975,0.7185,0.023051,-0.675741,0.163096,-0.940647,-0.113545,-0.056811,5.288977,-1.796183,-13.552949,0,0
9653,2024 9 19,12:41:52.984,0.718349,0.022564,-0.675758,0.163754,-1.022722,-0.118694,-0.008286,-0.478809,-0.931884,-8.87965,0,0
9654,2024 9 19,12:41:52.992,0.718674,0.021912,-0.675388,0.163945,-0.996299,0.82828,-0.354916,-3.634543,-8.903001,-5.664975,0,0
9655,2024 9 19,12:41:53.000,0.718762,0.021734,-0.675287,0.163997,-0.989098,-0.145749,-0.030424,-4.494599,-11.07543,-4.788856,0,0
9656,2024 9 19,12:41:53.009,0.719142,0.021322,-0.674892,0.164014,-0.949032,-0.123361,-0.066992,-3.320304,-8.101736,-3.049395,0,0
9657,2024 9 19,12:41:53.017,0.719293,0.020973,-0.674782,0.163848,-0.968173,-0.122786,-0.074658,-4.709055,-2.092388,-0.94161,0,0
9658,2024 9 19,12:41:53.025,0.719293,0.020973,-0.674782,0.163848,-0.980176,-0.125079,-0.06488,-3.650782,0.461231,-0.44092,0,0
9659,2024 9 19,12:41:53.034,0.71915,0.020608,-0.675023,0.163529,-1.002075,-0.111745,-0.032773,-1.605769,2.970546,-0.867967,0,0
9660,2024 9 19,12:41:53.042,0.718941,0.020527,-0.67523,0.163606,-1.021173,-0.108314,-0.033081,-0.024425,2.505866,-2.687557,0,0
9661,2024 9 19,12:41:53.050,0.718784,0.020381,-0.67531,0.163983,-1.01968,-0.101429,-0.033516,1.946957,1.200759,-5.855958,0,0
9662,2024 9 19,12:41:53.059,0.718739,0.020338,-0.675333,0.164091,-1.01925,-0.099448,-0.033641,2.514141,0.825269,-6.767534,0,0
9663,2024 9 19,12:41:53.067,0.718576,0.020153,-0.67536,0.164713,-1.015672,-0.108197,-0.044037,4.146113,0.673278,-9.319444,0,0
9664,2024 9 19,12:41:53.075,0.71843,0.019873,-0.675291,0.165666,-0.986739,-0.111096,-0.045006,5.569335,-0.27486,-11.570696,0,0
9665,2024 9 19,12:41:53.084,0.718139,0.019586,-0.675342,0.16675,-1.001919,-0.118127,-0.047008,6.159427,2.278396,-12.404243,0,0
9666,2024 9 19,12:41:53.092,0.717837,0.019319,-0.675391,0.167879,-0.997515,-0.129451,-0.034936,6.419717,1.536997,-12.394355,0,0
9667,2024 9 19,12:41:53.100,0.717594,0.019072,-0.675378,0.168996,-0.994495,-0.129755,-0.043622,6.795929,0.676075,-11.836859,0,0
9668,2024 9 19,12:41:53.109,0.717521,0.018997,-0.675374,0.169331,-0.993589,-0.129847,-0.04623,6.908875,0.417612,-11.669489,0,0
9669,2024 9 19,12:41:53.117,0.717373,0.018831,-0.675329,0.17015,-0.987886,-0.131571,-0.044983,6.561337,0.212263,-10.855545,0,0
9670,2024 9 19,12:41:53.125,0.717209,0.018675,-0.675272,0.171086,-0.987504,-0.127698,-0.043927,6.540154,0.192063,-10.142734,0,0
9671,2024 9 19,12:41:53.134,0.717046,0.018548,-0.675204,0.172044,-0.994808,-0.128535,-0.041917,6.828804,0.017225,-9.629256,0,0
9672,2024 9 19,12:41:53.142,0.716928,0.018423,-0.675082,0.173027,-1.003787,-0.127112,-0.038606,6.833717,-1.045652,-9.849307,0,0
9673,2024 9 19,12:41:53.150,0.716874,0.018253,-0.674883,0.17404,-0.999865,-0.124993,-0.041268,6.835242,-2.339616,-10.294865,0,0
9674,2024 9 19,12:41:53.159,0.716857,0.0182,-0.674821,0.174356,-0.998641,-0.124332,-0.042099,6.835718,-2.743714,-10.43401,0,0
9675,2024 9 19,12:41:53.167,0.716858,0.018019,-0.674616,0.175166,-0.991921,-0.126458,-0.044361,6.669153,-3.079103,-10.727811,0,0
9676,2024 9 19,12:41:53.175,0.716877,0.017764,-0.674356,0.176111,-0.981483,-0.130788,-0.049066,6.159325,-3.434519,-10.820719,0,0
9677,2024 9 19,12:41:53.184,0.716876,0.01749,-0.674111,0.177078,-0.970537,-0.133491,-0.058189,5.789904,-2.760225,-10.601634,0,0
9678,2024 9 19,12:41:53.192,0.716839,0.017223,-0.673907,0.178029,-0.963066,-0.132043,-0.069043,5.506353,-2.089817,-10.324885,0,0
9679,2024 9 19,12:41:53.200,0.716736,0.016954,-0.67379,0.178909,-0.966594,-0.134543,-0.063308,4.54971,-0.472911,-9.906112,0,0
9680,2024 9 19,12:41:53.209,0.716702,-0.258651,-0.634066,-0.131898,-0.967736,-0.135353,-0.061451,4.239795,0.050905,-9.770445,0,0
9681,2024 9 19,12:41:53.217,0.716583,0.016655,-0.673722,0.179806,-0.96057,-0.136928,-0.067401,3.811014,0.098679,-9.275525,0,0
9682,2024 9 19,12:41:53.225,0.716404,0.016428,-0.673739,0.180475,-0.961489,-0.140386,-0.064448,3.507041,1.217516,-8.54129,0,0
9683,2024 9 19,12:41:53.234,0.716191,0.016234,-0.67379,0.181145,-0.958207,-0.139897,-0.067387,3.488325,1.504851,-7.891812,0,0
9684,2024 9 19,12:41:53.242,0.716034,0.016102,-0.673836,0.181605,-0.961238,-0.140521,-0.066571,3.316264,1.797111,-7.324287,0,0
9685,2024 9 19,12:41:53.250,0.715834,0.015957,-0.673918,0.182105,-0.978532,-0.143364,-0.056928,2.612294,2.149965,-6.38984,0,0
9686,2024 9 19,12:41:53.259,0.715671,0.01582,-0.673981,0.182525,-0.985808,-0.142105,-0.045025,1.656096,0.986476,-5.803337,0,0
9687,2024 9 19,12:41:53.267,0.715653,0.015775,-0.673976,0.182616,-0.987155,-0.144344,-0.040103,1.688231,0.615076,-5.677866,0,0
9688,2024 9 19,12:41:53.275,0.715603,-0.10194,-0.672601,-0.158517,-0.989253,-0.151315,-0.027437,1.95622,-1.010099,-5.203642,0,0
9689,2024 9 19,12:41:53.284,0.715697,0.015453,-0.673706,0.183465,-0.97004,-0.143839,-0.056995,2.685405,-3.547482,-4.665301,0,0
9690,2024 9 19,12:41:53.292,0.715841,0.015315,-0.673455,0.183837,-0.968387,-0.141449,-0.057021,1.984438,-3.467467,-4.110193,0,0
9691,2024 9 19,12:41:53.300,0.715944,0.015168,-0.673272,0.184116,-0.989044,-0.146641,-0.049835,1.190729,-3.293407,-3.926919,0,0
9692,2024 9 19,12:41:53.309,0.716131,0.014989,-0.673005,0.184381,-0.982195,-0.142242,-0.04839,1.219725,-5.303317,-4.025012,0,0
9693,2024 9 19,12:41:53.317,0.716192,0.014929,-0.672921,0.184453,-0.98239,-0.142831,-0.049179,1.14226,-5.407821,-4.054335,0,0
9694,2024 9 19,12:41:53.325,0.716422,0.014706,-0.67261,0.18471,-0.983094,-0.145814,-0.052241,0.84416,-5.628814,-4.168471,0,0
9695,2024 9 19,12:41:53.334,0.716736,0.016954,-0.67379,0.178909,-0.97653,-0.147742,-0.055864,0.839452,-6.228333,-4.311607,0,0
9696,2024 9 19,12:41:53.342,0.717021,0.014153,-0.671805,0.185361,-0.972922,-0.145619,-0.063319,1.241101,-6.186985,-4.287254,0,0
9697,2024 9 19,12:41:53.350,0.717262,0.013921,-0.671471,0.185657,-0.974492,-0.150032,-0.059593,0.95412,-5.681067,-4.374498,0,0
9698,2024 9 19,12:41:53.359,0.717485,0.013683,-0.671156,0.185951,-0.97417,-0.159136,-0.048506,0.687119,-5.907092,-4.681611,0,0
9699,2024 9 19,12:41:53.367,0.717544,0.013599,-0.671072,0.186031,-0.976397,-0.158212,-0.048606,0.506466,-5.741007,-4.762423,0,0
9700,2024 9 19,12:41:53.375,0.717739,0.013297,-0.670797,0.186292,-0.98533,-0.153061,-0.050016,-0.175351,-5.251463,-5.053923,0,0
9701,2024 9 19,12:41:53.384,0.718022,0.012815,-0.670421,0.18659,-0.993682,-0.153864,-0.04577,-0.992702,-6.483344,-5.571439,0,0
9702,2024 9 19,12:41:53.392,0.718317,0.012352,-0.670046,0.186831,-0.995782,-0.159321,-0.05843,-1.502532,-7.569998,-5.810737,0,0
9703,2024 9 19,12:41:53.400,0.718677,0.011819,-0.669588,0.187123,-0.983608,-0.150491,-0.069831,-1.721964,-8.105402,-6.046524,0,0
9704,2024 9 19,12:41:53.409,0.718985,0.011298,-0.669201,0.187357,-0.993351,-0.149051,-0.063971,-2.329282,-7.553732,-6.211691,0,0
9705,2024 9 19,12:41:53.417,0.719042,-0.260666,-0.630888,-0.130432,-0.993712,-0.148323,-0.06565,-2.383235,-7.462019,-6.315591,0,0
9706,2024 9 19,12:41:53.425,0.719348,0.010512,-0.668725,0.187709,-0.987316,-0.143851,-0.079641,-2.715811,-7.16829,-7.085168,0,0
9707,2024 9 19,12:41:53.434,0.719639,0.009779,-0.668354,0.187955,-0.97734,-0.14591,-0.076134,-3.838363,-6.90235,-7.649416,0,0
9708,2024 9 19,12:41:53.442,0.719838,0.009022,-0.668095,0.188152,-0.981429,-0.154697,-0.069573,-4.835576,-5.490677,-8.206419,0,0
9709,2024 9 19,12:41:53.450,0.72006,0.008043,-0.667795,0.188412,-0.97639,-0.151799,-0.065052,-4.878319,-5.713844,-8.857904,0,0
9710,2024 9 19,12:41:53.459,0.720271,0.00715,-0.667505,0.188665,-0.971095,-0.16144,-0.065199,-4.760103,-5.991753,-9.15042,0,0
9711,2024 9 19,12:41:53.467,0.720428,0.00645,-0.667278,0.188898,-0.969893,-0.158976,-0.079879,-4.322176,-5.763246,-9.264403,0,0
9712,2024 9 19,12:41:53.475,0.720467,0.00619,-0.667205,0.189013,-0.968132,-0.159272,-0.077547,-3.950058,-5.275881,-9.480756,0,0
9713,2024 9 19,12:41:53.484,0.720545,0.005448,-0.667017,0.189402,-0.968854,-0.159968,-0.065975,-2.605359,-3.740771,-10.248465,0,0
9714,2024 9 19,12:41:53.492,0.72058,0.004751,-0.66685,0.189876,-0.98597,-0.157267,-0.064896,-1.24706,-3.474447,-10.856264,0,0
9715,2024 9 19,12:41:53.500,0.72068,0.003913,-0.666547,0.190576,-0.970978,-0.158207,-0.071418,-0.481271,-4.598934,-11.565309,0,0
9716,2024 9 19,12:41:53.509,0.720696,0.003141,-0.666329,0.191291,-0.985969,-0.153234,-0.094452,-0.361921,-3.175437,-12.662942,0,0
9717,2024 9 19,12:41:53.517,0.720666,0.002452,-0.666185,0.191914,-0.989741,-0.165321,-0.093838,-1.223281,-2.798827,-14.084957,0,0
9718,2024 9 19,12:41:53.525,0.720589,0.002168,-0.666185,0.192208,-0.994899,-0.166894,-0.091627,-1.194324,-1.645012,-14.818284,0,0
9719,2024 9 19,12:41:53.534,0.72027,0.001333,-0.666263,0.193138,-1.008264,-0.166085,-0.077683,-0.176827,1.716294,-17.354219,0,0
9720,2024 9 19,12:41:53.542,0.71987,0.000411,-0.666373,0.19425,-1.004877,-0.165711,-0.05575,1.95149,1.868984,-20.5373,0,0
9721,2024 9 19,12:41:53.550,0.719314,-0.000755,-0.66651,0.19583,-1.007491,-0.190911,-0.089014,1.800313,2.493478,-22.835871,0,0
