frame,date,time,quaternion_x,quaternion_y,quaternion_z,quaternion_w,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,HS,TO
3246,2024 10 19,05:24:37.040,0.581662,0.626103,-0.151935,0.496569,-0.366222,1.485397,-0.776879,11.901855,-21.362305,-13.061523,0,0
3247,2024 10 19,05:24:37.048,0.579678,0.628985,-0.153157,0.494868,-0.258797,1.507859,-1.014679,24.536133,-44.433594,0.061035,0,0
3248,2024 10 19,05:24:37.057,0.575825,0.633734,-0.157159,0.492044,-0.41554,1.566942,-0.78225,31.12793,-85.083008,21.972656,0,0
3249,2024 10 19,05:24:37.065,0.570352,0.639234,-0.163554,0.489212,-0.5674,1.531297,-0.751488,34.057617,-104.492188,46.630859,0,0
3250,2024 10 19,05:24:37.073,0.570352,0.639234,-0.163554,0.489212,-0.5674,1.531297,-0.751488,34.057617,-104.492188,46.630859,0,0
3251,2024 10 19,05:24:37.082,0.563522,0.645075,-0.172231,0.486475,-0.713889,1.436079,-0.63039,32.592773,-122.924805,70.373535,0,0
3252,2024 10 19,05:24:37.090,0.55581,0.650606,-0.182875,0.48409,-0.806177,1.332072,-0.560076,25.512695,-131.286621,92.163086,0,0
3253,2024 10 19,05:24:37.098,0.547512,0.655608,-0.195569,0.481832,-0.910672,1.259316,-0.457533,14.343262,-143.005371,112.304688,0,0
3254,2024 10 19,05:24:37.107,0.538821,0.659786,-0.210275,0.479728,-1.017609,1.22074,-0.363292,1.342773,-150.024414,132.568359,0,0
3255,2024 10 19,05:24:37.115,0.529716,0.663096,-0.226893,0.477729,-1.156285,1.199744,-0.209967,-10.192871,-158.203125,151.611328,0,0
3256,2024 10 19,05:24:37.123,0.529716,0.663096,-0.226893,0.477729,-1.156285,1.199744,-0.209967,-10.192871,-158.203125,151.611328,0,0
3257,2024 10 19,05:24:37.132,0.520091,0.665474,-0.245125,0.475986,-1.315958,1.155309,-0.066408,-19.165039,-161.682129,170.532227,0,0
3258,2024 10 19,05:24:37.140,0.509807,0.666778,-0.264565,0.474879,-1.458541,1.094272,0.079592,-23.498535,-159.973145,189.880371,0,0
3259,2024 10 19,05:24:37.148,0.498776,0.666979,-0.284732,0.474646,-1.603565,1.016144,0.221198,-24.291992,-152.893066,207.702637,0,0
3260,2024 10 19,05:24:37.157,0.486978,0.666123,-0.305034,0.475487,-1.699271,0.883328,0.317392,-21.179199,-142.822266,221.984863,0,0
3261,2024 10 19,05:24:37.165,0.474447,0.664355,-0.325095,0.477331,-1.765191,0.727073,0.350597,-15.258789,-131.896973,232.849121,0,0
3262,2024 10 19,05:24:37.173,0.474447,0.664355,-0.325095,0.477331,-1.765191,0.727073,0.350597,-15.258789,-131.896973,232.849121,0,0
3263,2024 10 19,05:24:37.182,0.46115,0.661876,-0.34466,0.480074,-1.79693,0.5674,0.369152,-6.469727,-122.253418,241.455078,0,0
3264,2024 10 19,05:24:37.190,0.44695,0.658895,-0.363588,0.483628,-1.840876,0.387707,0.396008,4.760742,-113.769531,248.596191,0,0
3265,2024 10 19,05:24:37.198,0.431886,0.655492,-0.38165,0.488004,-1.857967,0.209967,0.397961,18.066406,-104.858398,253.479004,0,0
3266,2024 10 19,05:24:37.207,0.415935,0.651912,-0.398619,0.493063,-1.876034,0.016602,0.405286,33.447266,-97.65625,254.638672,0,0
3267,2024 10 19,05:24:37.215,0.399277,0.648326,-0.414141,0.498737,-1.877499,-0.190924,0.376965,49.987793,-89.172363,251.159668,0,0
3268,2024 10 19,05:24:37.223,0.3821,0.644909,-0.428027,0.504862,-1.850154,-0.412122,0.325205,65.979004,-82.519531,243.95752,0,0
3269,2024 10 19,05:24:37.232,0.3821,0.644909,-0.428027,0.504862,-1.850154,-0.412122,0.325205,65.979004,-82.519531,243.95752,0,0
3270,2024 10 19,05:24:37.240,0.364636,0.641781,-0.440211,0.511245,-1.803766,-0.688498,0.241707,79.956055,-75.683594,233.581543,0,0
3271,2024 10 19,05:24:37.248,0.34726,0.638956,-0.450674,0.517725,-1.735404,-1.038118,0.145512,90.759277,-68.908691,220.64209,0,0
3272,2024 10 19,05:24:37.257,0.330464,0.636486,-0.459481,0.523982,-1.603565,-1.514695,0.077639,95.275879,-62.561035,203.735352,0,0
3273,2024 10 19,05:24:37.265,0.314978,0.634269,-0.466848,0.529665,-1.476119,-2.044496,0.018067,90.576172,-54.931641,184.082031,0,0
3274,2024 10 19,05:24:37.273,0.300926,0.63297,-0.473235,0.533705,-1.3726,-2.517167,0.007324,80.383301,-69.091797,158.38623,0,0
3275,2024 10 19,05:24:37.282,0.300926,0.63297,-0.473235,0.533705,-1.3726,-2.517167,0.007324,80.383301,-69.091797,158.38623,0,0
3276,2024 10 19,05:24:37.290,0.288905,0.633038,-0.478414,0.535646,-1.366253,-2.841395,0.31251,65.856934,-67.871094,122.436523,0,0
3277,2024 10 19,05:24:37.298,0.280284,0.633734,-0.481739,0.536423,-1.182165,-2.998138,0.316904,48.217773,-61.462402,81.726074,0,0
3278,2024 10 19,05:24:37.307,0.27423,0.635579,-0.483876,0.535445,-1.193396,-3.061129,0.584979,30.822754,-59.814453,48.339844,0,0
3279,2024 10 19,05:24:37.315,0.271538,0.637294,-0.485048,0.533716,-4.881985,-3.079684,-1.171911,3.173828,-45.10498,18.310547,0,0
